UM10-10 Brogo Granodiorite Apatite 3D Semi-Track Lengths ,,,,,,,,,
Grain06,32,2.34,3.43,4.16,66.84,55.67,0.92,77.22,0.627
Grain06,33,4.14,5.88,7.19,84.25,54.86,0.41,86.69,0.627
Grain06,34,5.35,7.84,9.49,35.57,55.71,4.35,62.71,0.627
Grain06,35,6.77,6.37,9.29,49.18,43.29,4.43,61.55,0.627
Grain06,36,7.74,3.92,8.68,87.21,26.86,0.38,87.51,0.627
Grain06,37,3.43,2.94,4.52,54.4,40.61,2.00,63.78,0.627
Grain06,38,7.27,2.94,7.84,20.39,22.03,6.81,29.63,0.627
Grain06,39,0.85,0.98,1.3,79.81,48.97,0.15,83.36,0.627
Grain06,40,0.28,0.49,0.57,79.81,59.88,0.05,85.01,0.627
Grain06,41,2.69,3.92,4.76,27.16,55.52,2.39,59.81,0.627
Grain06,42,1.67,1.47,2.22,89.78,41.42,0.01,89.83,0.627
Grain06,43,3.08,10.29,10.75,50.79,73.32,1.95,79.56,0.627
Grain07,1,3.67,6.37,7.35,1.15,60.09,3.67,60.05,0.560
Grain07,2,0.28,0,0.28,47.67,0,0.19,47.67,0.560
Grain07,3,2.65,2.45,3.61,17.77,42.72,2.52,45.65,0.560
Grain07,4,3.9,2.45,4.61,34.2,32.13,3.23,45.60,0.560
Grain07,5,0.71,1.47,1.63,76.72,64.22,0.16,84.26,0.560
Grain07,6,0.55,0.49,0.74,47.67,41.62,0.37,59.97,0.560
Grain07,7,3.72,3.92,5.4,82.82,46.52,0.46,85.06,0.560
Grain07,8,6.58,3.92,7.66,18.15,30.8,6.25,35.29,0.560
Grain07,9,1.54,1.96,2.49,15.77,51.81,1.48,53.47,0.560
Grain07,10,0.59,0.98,1.14,27.11,58.99,0.53,62.57,0.560
Grain07,11,0.96,1.47,1.76,77.92,56.91,0.20,83.45,0.560
Grain07,12,3.21,1.47,3.53,67.8,24.62,1.21,69.90,0.560
Grain07,13,0.81,0.49,0.94,67.65,31.26,0.31,70.87,0.560
Grain07,14,2.14,1.47,2.6,40.48,34.5,1.63,51.24,0.560
Grain07,15,4.7,4.9,6.79,52.49,46.24,2.86,65.07,0.560
Grain07,16,3.89,6.37,7.47,24.74,58.57,3.53,61.77,0.560
Grain07,17,0.64,0.98,1.17,82.93,57.03,0.08,86.14,0.560
Grain07,18,0.59,0.49,0.77,77.87,39.56,0.12,80.73,0.560
Grain07,19,1.05,1.47,1.81,65.53,54.46,0.43,76.10,0.560
Grain07,20,6.02,5.39,8.08,29.09,41.84,5.26,49.38,0.560
Grain07,21,2.59,0.98,2.77,88.41,20.77,0.07,88.51,0.560
Grain07,22,0.37,0.49,0.62,64.13,52.85,0.16,74.91,0.560
Grain07,23,0.92,0.98,1.34,55.33,46.81,0.52,67.01,0.560
Grain07,24,1.88,2.45,3.09,23.92,52.45,1.72,56.21,0.560
Grain07,25,1.45,0.98,1.75,42.33,34.09,1.07,52.23,0.560
Grain07,26,3.21,3.92,5.07,70.55,50.7,1.07,77.83,0.560
Grain07,27,3.08,1.47,3.42,21.1,25.49,2.87,32.84,0.560
Grain07,28,1.51,1.47,2.11,4.52,44.19,1.51,44.49,0.560
Grain07,29,4.46,6.86,8.18,8.32,56.98,4.41,57.35,0.560
Grain07,30,2.43,5.39,5.91,82.26,65.74,0.33,86.83,0.560
Grain07,31,1.6,1.96,2.53,40.24,50.79,1.22,61.13,0.560
Grain07,32,3.84,2.94,4.84,29.88,37.46,3.33,46.53,0.560
Grain07,33,2.19,4.41,4.93,23.52,63.58,2.01,65.96,0.560
Grain07,34,2.71,1.47,3.08,22.97,28.53,2.50,35.89,0.560
Grain08,1,1.72,2.94,3.41,64.78,59.62,0.73,77.59,0.592
Grain08,2,0.93,1.47,1.74,75.09,57.82,0.24,82.10,0.592
Grain08,3,1.03,2.45,2.66,64.78,67.11,0.44,80.50,0.592
Grain08,4,0.46,0.49,0.67,51.78,46.65,0.28,64.86,0.592
Grain08,5,6.42,2.45,6.87,28.53,20.91,5.64,34.81,0.592
Grain08,6,0.56,2.45,2.51,18.09,77.22,0.53,77.76,0.592
Grain08,7,1.45,0.49,1.53,14.38,18.68,1.40,23.36,0.592
Grain08,8,7.57,3.43,8.31,6.95,24.39,7.51,25.28,0.592
Grain08,9,2.83,3.43,4.45,13.05,50.5,2.76,51.72,0.592
Grain08,10,4.8,2.45,5.39,57.31,27.03,2.59,61.25,0.592
Grain08,11,0.94,0.98,1.36,42.32,46.26,0.70,59.27,0.592
Grain08,12,5.58,1.47,5.77,3.12,14.76,5.57,15.06,0.592
Grain08,13,0.65,0.49,0.81,43.66,36.99,0.47,54.51,0.592
Grain08,14,2.89,6.37,7,21.66,65.61,2.69,67.44,0.592
Grain08,15,3.52,10.29,10.88,36.53,71.14,2.83,74.93,0.592
Grain08,16,2.51,10.29,10.6,62.4,76.29,1.16,83.70,0.592
Grain08,17,0.59,0.49,0.77,66.11,39.56,0.24,71.92,0.592
Grain08,18,0.85,0.98,1.3,25.69,48.97,0.77,53.90,0.592
Grain08,19,2.5,2.94,3.86,17.99,49.65,2.38,51.98,0.592
Grain08,20,3.58,2.45,4.34,76.57,34.4,0.83,78.95,0.592
Grain08,21,8.02,2.45,8.39,19.99,16.99,7.54,26.06,0.592
Grain08,22,9.1,5.88,10.83,18.18,32.89,8.65,37.03,0.592
Grain08,23,10.01,5.88,11.61,29.71,30.44,8.69,41.51,0.592
Grain08,24,6.05,0.98,6.13,18.86,9.21,5.73,20.94,0.592
Grain08,25,7.21,1.96,7.47,6.16,15.22,7.17,16.34,0.592
Grain08,26,0.5,1.47,1.55,67.96,71.31,0.19,83.05,0.592
Grain08,27,1.86,2.94,3.48,13.77,57.64,1.81,58.73,0.592
Grain08,28,4.21,3.43,5.43,13.53,39.18,4.09,41.08,0.592
Grain08,29,4.97,5.88,7.7,17.4,49.8,4.74,51.98,0.592
Grain08,30,0.97,0.98,1.38,82.44,45.36,0.13,84.69,0.592
Grain08,31,0.1,1.47,1.47,56.65,86.2,0.05,87.86,0.592
Grain08,32,7.03,5.88,9.16,43,39.93,5.14,55.85,0.592
Grain08,33,0.22,0.98,1,6.78,77.46,0.22,77.38,0.592
Grain08,34,1.67,2.45,2.97,26.64,55.74,1.49,59.83,0.592
Grain08,35,4.7,4.41,6.44,9.12,43.22,4.64,43.90,0.592
Grain08,36,2.7,7.35,7.83,69.18,69.85,0.96,82.96,0.592
Grain08,37,6.44,4.41,7.81,88.66,34.41,0.15,88.90,0.592
Grain08,38,10.86,1.47,10.96,74.43,7.71,2.91,74.58,0.592
Grain08,39,0.34,0.49,0.6,78.35,54.87,0.07,83.43,0.592
Grain08,40,4.96,6.37,8.07,46.45,52.13,3.42,64.95,0.592
Grain08,41,0.2,1.96,1.97,33.35,84.32,0.17,85.14,0.592
Grain08,42,2.95,0,2.95,81.09,0,0.46,81.09,0.592
Grain09,1,4.06,1.47,4.32,56.84,19.91,2.22,59.07,0.623
Grain09,2,4.6,9.8,10.83,13.92,64.86,4.46,65.65,0.623
Grain09,3,2.78,2.45,3.71,8.05,41.4,2.75,42.10,0.623
Grain09,4,3.59,2.94,4.64,34.84,39.35,2.95,50.58,0.623
Grain09,5,0.65,0.98,1.18,17.51,56.28,0.62,58.31,0.623
Grain09,6,0.71,0.98,1.21,25,54.08,0.64,57.87,0.623
Grain09,7,7.54,3.43,8.28,3.27,24.47,7.53,24.61,0.623
Grain09,8,3.11,2.45,3.96,39.76,38.23,2.39,52.86,0.623
Grain09,9,10.58,3.43,11.12,46.08,17.97,7.34,48.70,0.623
Grain09,10,7.31,5.88,9.39,34.86,38.81,6.00,50.30,0.623
Grain09,11,0.76,0.98,1.24,48.86,52.15,0.50,66.22,0.623
Grain09,12,5.64,3.43,6.6,61.79,31.32,2.67,66.17,0.623
Grain09,13,2.08,0.98,2.3,41.65,25.24,1.55,47.49,0.623
Grain09,14,1.48,0.49,1.56,8.18,18.31,1.46,20.10,0.623
Grain09,15,3.06,2.94,4.25,18.22,43.84,2.91,46.85,0.623
Grain09,16,3.69,3.43,5.04,33.25,42.92,3.09,52.25,0.623
Grain09,17,3.34,2.45,4.14,6.2,36.3,3.32,36.67,0.623
Grain09,18,1.03,1.96,2.22,35.94,62.18,0.83,67.94,0.623
Grain09,19,0.59,0.49,0.76,80.94,39.95,0.09,82.98,0.623
Grain10,1,7.48,0.98,7.54,44.22,7.47,5.36,44.69,0.592
Grain10,2,0.83,0.49,0.96,31.36,30.64,0.71,42.41,0.592
Grain10,3,1.22,0.49,1.32,11.35,21.89,1.20,25.02,0.592
Grain10,4,8.53,3.92,9.39,19.55,24.69,8.04,31.12,0.592
Grain10,5,1.33,0.49,1.41,67.61,20.28,0.51,68.94,0.592
Grain10,6,0.57,0.49,0.75,44.6,40.76,0.41,57.24,0.592
Grain10,7,0.21,0,0.21,31.36,0,0.18,31.36,0.592
Grain10,8,1.54,0.98,1.83,32.07,32.44,1.30,44.51,0.592
Grain10,9,5.66,3.43,6.62,14.63,31.23,5.48,34.18,0.592
Grain10,10,3.47,5.39,6.41,37.07,57.27,2.77,64.41,0.592
Grain10,11,1.98,1.96,2.78,33.86,44.79,1.64,53.74,0.592
Grain10,12,1.46,2.94,3.28,50.65,63.58,0.93,73.61,0.592
Grain10,13,6.34,2.94,6.99,16.87,24.88,6.07,29.78,0.592
Grain10,14,2.83,3.92,4.84,34.15,54.17,2.34,61.06,0.592
Grain10,15,5.56,8.33,10.02,11.8,56.27,5.44,57.10,0.592
Grain10,16,1.59,0.49,1.67,63.61,17.11,0.71,64.96,0.592
Grain10,17,0.15,0,0.15,4.8,0,0.15,4.80,0.592
Grain10,18,0.22,0,0.22,40.2,0,0.17,40.20,0.592
Grain10,19,0.28,0.49,0.57,72.68,59.88,0.08,81.59,0.592
Grain10,20,0.28,0.49,0.56,58.64,60.63,0.15,74.92,0.592
Grain10,21,8.88,3.43,9.52,11.38,21.13,8.71,23.87,0.592
Grain10,22,9.45,8.33,12.6,31.78,41.41,8.03,50.39,0.592
Grain10,23,1.81,0,1.81,13.62,0,1.76,13.62,0.592
Grain10,24,0.44,0.49,0.66,70.02,47.98,0.15,76.83,0.592
Grain10,25,1.9,0.49,1.96,15.11,14.45,1.83,20.63,0.592
Grain10,26,7.16,1.47,7.31,4.63,11.61,7.14,12.50,0.592
Grain10,27,7.61,0,7.61,19.9,0,7.16,19.90,0.592
Grain10,28,0.46,0,0.46,57.93,0,0.24,57.93,0.592
Grain10,29,3.61,2.45,4.37,54.99,34.15,2.07,61.71,0.592
Grain10,30,5.83,3.43,6.76,79.43,30.48,1.07,80.90,0.592
Grain10,31,4.53,9.8,10.8,6.21,65.22,4.50,65.36,0.592
Grain10,32,7.48,3.43,8.23,40.91,24.63,5.65,46.62,0.592
Grain10,33,3.74,1.96,4.22,21.13,27.67,3.49,34.24,0.592
Grain10,34,2.14,0.98,2.36,64.54,24.59,0.92,67.06,0.592
Grain10,35,3.25,0.49,3.28,46.37,8.58,2.24,46.87,0.592
Grain10,36,2.84,0.98,3,80.31,19.07,0.48,80.83,0.592
Grain10,37,3.43,0.49,3.46,8.74,8.14,3.39,11.53,0.592
Grain10,38,4.75,2.94,5.58,4.18,31.78,4.74,31.90,0.592
Grain10,39,0.79,0,0.79,46.62,0,0.54,46.62,0.592
Grain10,40,1.51,0,1.51,55.59,0,0.85,55.59,0.592
Grain10,41,0.64,0,0.64,71.96,0,0.20,71.96,0.592
Grain10,42,6.82,2.94,7.42,4.28,23.34,6.80,23.57,0.592
Grain10,43,0.15,0.98,0.99,85.2,81.06,0.01,89.27,0.592
Grain10,44,0.21,0,0.21,31.36,0,0.18,31.36,0.592
Grain10,45,1.57,0,1.57,46.62,0,1.08,46.62,0.592
Grain10,46,2.34,2.94,3.76,16.02,51.46,2.25,53.26,0.592
Grain10,47,1.72,1.96,2.61,58.64,48.67,0.90,69.94,0.592
Grain10,48,2.32,2.94,3.75,54.11,51.75,1.36,68.74,0.592
Grain10,49,4.35,8.33,9.4,32.27,62.46,3.68,66.97,0.592
Grain10,50,8.4,7.35,11.16,63.62,41.19,3.73,70.46,0.592
Grain10,51,2.26,0.49,2.31,43.7,12.24,1.63,44.98,0.592
Grain10,52,4.36,7.84,8.97,69.59,60.95,1.52,80.24,0.592
Grain10,53,0.37,0.49,0.62,53.16,52.85,0.22,69.03,0.592
Grain11,1,7.29,2.94,7.86,30.75,21.97,6.27,37.15,0.587
Grain11,2,4.7,3.92,6.12,1.8,39.83,4.70,39.86,0.587
Grain11,3,2.38,0.98,2.58,34.24,22.38,1.97,40.31,0.587
Grain11,4,3.03,6.37,7.06,5.84,64.58,3.01,64.73,0.587
Grain11,5,2.9,3.92,4.88,64.41,53.54,1.25,75.13,0.587
Grain11,6,3.53,1.96,4.04,48.75,29.02,2.33,54.82,0.587
Grain11,7,8.25,4.41,9.36,42.64,28.13,6.07,49.58,0.587
Grain11,8,3.44,5.39,6.39,55.36,57.49,1.96,72.18,0.587
Grain11,9,5.34,5.88,7.94,79.99,47.78,0.93,83.29,0.587
Grain11,10,7.45,2.45,7.85,25.82,18.21,6.71,31.32,0.587
Grain11,11,1.67,0.49,1.74,41.33,16.39,1.25,43.89,0.587
Grain11,12,0.92,2.45,2.62,37.22,69.42,0.73,73.76,0.587
Grain11,13,1.72,0.49,1.79,28.9,15.87,1.51,32.73,0.587
Grain11,14,4.7,0.49,4.73,38.67,5.95,3.67,39.12,0.587
Grain11,15,3.11,4.9,5.81,52.97,57.59,1.87,71.19,0.587
Grain11,16,1.42,0.98,1.72,22.75,34.71,1.31,40.42,0.587
Grain11,17,0.49,0.49,0.69,57.64,45.14,0.26,67.66,0.587
Grain11,18,1.56,0.49,1.64,20.77,17.44,1.46,27.20,0.587
Grain11,19,1.37,0.98,1.68,16.69,35.6,1.31,38.64,0.587
Grain11,20,8.98,2.45,9.31,2.59,15.27,8.97,15.51,0.587
Grain11,21,2.03,0.49,2.09,47.95,13.58,1.36,49.42,0.587
Grain11,22,0.25,0.49,0.55,80.54,63.1,0.04,85.72,0.587
Grain11,23,0.68,0.98,1.19,48.19,55.28,0.45,67.61,0.587
Grain11,24,3.15,2.94,4.31,47.43,43.02,2.13,60.37,0.587
Grain11,25,5.74,5.88,8.22,61.64,45.7,2.73,70.63,0.587
Grain11,26,2.22,4.41,4.94,1.54,63.28,2.22,63.31,0.587
Grain11,27,6.08,9.31,11.12,20.33,56.85,5.70,59.16,0.587
Grain11,28,1.2,0.98,1.55,47.86,39.14,0.81,58.71,0.587
Grain11,29,4.63,2.94,5.48,6.87,32.45,4.60,32.98,0.587
Grain11,30,0.97,0.49,1.09,61.69,26.85,0.46,65.04,0.587
Grain11,31,0.28,2.45,2.47,10.19,83.38,0.28,83.59,0.587
Grain11b,1,0.9,0.49,1.02,33.3,28.59,0.75,42.48,0.643
Grain11b,2,0.07,0.98,0.98,24.23,85.98,0.06,86.27,0.643
Grain11b,3,0.79,1.47,1.67,27.9,61.86,0.70,65.29,0.643
Grain11b,4,4.66,2.45,5.27,62.62,27.72,2.14,66.00,0.643
Grain11b,5,5.94,7.84,9.84,33.58,52.85,4.95,59.81,0.643
Grain11b,6,3.27,4.41,5.49,84.21,53.44,0.33,86.56,0.643
Grain11b,7,5.47,3.43,6.46,17.71,32.1,5.21,36.23,0.643
Grain11b,8,0.41,0.49,0.64,24.23,49.83,0.37,54.25,0.643
Grain11b,9,0.8,0.49,0.94,55.19,31.36,0.46,60.93,0.643
Grain11b,10,6.22,2.94,6.88,15.82,25.32,5.98,29.56,0.643
Grain11b,11,0.62,1.47,1.6,65.77,67.11,0.25,80.85,0.643
Grain11b,12,3.73,3.43,5.07,43.67,42.61,2.70,57.85,0.643
Grain11b,13,3.6,1.96,4.1,36.4,28.58,2.90,45.03,0.643
Grain11b,14,4.09,2.45,4.77,18.42,30.93,3.88,35.56,0.643
Grain11b,15,0.31,0.49,0.58,87.66,57.82,0.01,88.75,0.643
Grain11b,16,2.34,3.92,4.57,69.23,59.16,0.83,79.54,0.643
Grain11b,17,2.09,0.49,2.14,80.01,13.23,0.36,80.25,0.643
Grain11b,18,0.77,0.98,1.25,76.08,51.81,0.19,81.48,0.643
Grain11b,19,1.29,0.49,1.38,81.3,20.83,0.20,81.87,0.643
Grain11b,20,2.01,1.47,2.49,2.34,36.26,2.01,36.24,0.643
Grain11b,21,6.41,2.45,6.86,74.03,20.92,1.76,75.10,0.643
Grain11b,22,1.75,0.98,2,15.14,29.31,1.69,32.37,0.643
Grain11b,23,3.12,3.43,4.64,71.02,47.69,1.01,77.37,0.643
Grain11b,24,2.55,1.96,3.22,22.68,37.52,2.35,43.06,0.643
Grain11b,25,9.92,3.92,10.67,10.96,21.57,9.74,24.11,0.643
Grain11b,26,6,7.84,9.87,57.18,52.59,3.25,70.76,0.643
Grain11b,27,2.64,5.88,6.45,58.28,65.8,1.39,77.57,0.643
Grain11b,28,0.64,0,0.64,16.37,0,0.61,16.37,0.643
Grain11b,29,5.07,10.29,11.48,34.67,63.76,4.17,68.70,0.643
Grain11b,30,3.68,0.98,3.81,35.36,14.92,3.00,38.03,0.643
Grain11b,31,1.86,0.98,2.11,26.35,27.75,1.67,37.82,0.643
Grain12,1,1.57,2.45,2.91,30.89,57.31,1.35,62.42,0.657
Grain12,2,5,5.39,7.35,19.23,47.18,4.72,50.04,0.657
Grain12,3,0.54,0.98,1.12,57.18,61.21,0.29,74.85,0.657
Grain12,4,4.91,2.45,5.49,24.14,26.53,4.48,35.30,0.657
Grain12,5,9.33,5.88,11.03,54.68,32.24,5.39,60.72,0.657
Grain12,6,0.98,0.49,1.09,38.02,26.68,0.77,44.90,0.657
Grain12,7,7.73,5.88,9.71,82,37.28,1.08,83.64,0.657
Grain12,8,7.8,7.35,10.72,8,43.33,7.72,43.90,0.657
Grain12,9,2.01,1.96,2.81,81.04,44.31,0.31,83.60,0.657
Grain12,10,6.15,3.92,7.29,36.2,32.53,4.96,47.10,0.657
Grain12,11,0.59,0.98,1.14,76.43,58.99,0.14,83.03,0.657
Grain12,12,3.28,0,3.28,88.51,0,0.09,88.51,0.657
Grain12,13,1.31,0.98,1.64,86.03,36.76,0.09,86.83,0.657
Grain12,14,7.19,2.45,7.59,14.41,18.83,6.96,23.44,0.657
Grain12,15,0.49,0,0.49,88.85,0,0.01,88.85,0.657
Grain12,16,2,4.9,5.29,50.58,67.8,1.27,76.11,0.657
Grain12,17,1.37,1.96,2.39,79.46,54.97,0.25,83.98,0.657
Grain12,18,4.57,4.9,6.7,85.67,46.99,0.35,87.05,0.657
Grain12,19,10.82,4.41,11.69,52.37,22.18,6.61,55.59,0.657
Grain12,20,6.84,4.9,8.42,21.58,35.62,6.36,40.94,0.657
Grain12,21,1.49,7.35,7.5,40.67,78.53,1.13,81.33,0.657
Grain13,1,0.62,0,0.62,71.28,0,0.20,71.28,0.533
Grain13,2,2.09,0.49,2.15,64.92,13.17,0.89,65.67,0.533
Grain13,3,0.84,0.98,1.29,88.38,49.44,0.02,88.95,0.533
Grain13,4,0.31,0.98,1.03,18.72,72.53,0.29,73.44,0.533
Grain13,5,1.86,5.88,6.17,84.28,72.42,0.19,88.28,0.533
Grain13,6,5.92,2.94,6.61,28.63,26.43,5.20,38.18,0.533
Grain13,7,1.99,0.49,2.05,25.85,13.84,1.79,29.12,0.533
Grain13,8,0.98,3.43,3.57,74.03,74.13,0.27,85.67,0.533
Grain13,9,6.63,7.84,10.27,52,49.77,4.08,66.58,0.533
Grain13,10,9.48,5.88,11.16,30.36,31.82,8.18,42.86,0.533
Grain13,11,10.76,6.37,12.5,20.81,30.64,10.06,36.42,0.533
Grain13,12,4.82,8.33,9.63,73.1,59.96,1.40,81.63,0.533
Grain13,13,3.33,3.92,5.14,41.86,49.67,2.48,61.15,0.533
Grain13,14,1.42,0.49,1.5,31.25,19.02,1.21,35.97,0.533
Grain13,15,4.06,4.41,6,1.94,47.38,4.06,47.45,0.533
Grain13,16,3.18,4.41,5.44,4.69,54.22,3.17,54.37,0.533
Grain13,17,1.57,0.98,1.85,45.72,31.94,1.10,53.67,0.533
Grain13,18,2.25,0.98,2.45,55.33,23.58,1.28,58.51,0.533
Grain13,19,3.6,3.43,4.97,85.67,43.64,0.27,86.87,0.533
Grain13,20,8.54,0,8.54,72.39,0,2.58,72.39,0.533
Grain13,21,5.76,7.35,9.34,26.71,51.93,5.15,56.57,0.533
Grain13,22,8.17,8.82,12.03,19.53,47.2,7.70,50.20,0.533
Grain13,23,0.7,0.49,0.86,70.85,34.87,0.23,74.51,0.533
Grain13,24,7.56,7.84,10.89,71.28,46.06,2.43,77.13,0.533
Grain13,25,9.62,5.88,11.27,28.7,31.46,8.44,41.52,0.533
Grain13,26,4.4,0.98,4.51,33.34,12.56,3.68,35.41,0.533
Grain13,27,0.94,0.49,1.06,65.05,27.59,0.40,68.03,0.533
Grain13,28,7.71,3.92,8.65,62.31,26.95,3.58,65.53,0.533
Grain13,29,6.87,5.88,9.04,14.18,40.57,6.66,42.54,0.533
Grain13,30,8.97,2.94,9.44,25.3,18.16,8.11,30.79,0.533
Grain13,31,2.95,0.49,2.99,61.6,9.44,1.40,62.01,0.533
Grain13,32,2.83,0.98,3,54.82,19.1,1.63,57.08,0.533
Grain14,1,3.53,2.45,4.3,12.73,34.75,3.44,36.80,0.581
Grain14,2,4.69,3.92,6.11,55.72,39.9,2.64,64.38,0.581
Grain14,3,1.99,0.98,2.21,58.94,26.27,1.03,62.32,0.581
Grain14,4,6.76,3.92,7.81,52.79,30.12,4.09,58.44,0.581
Grain14,5,9.83,7.84,12.58,71.3,38.57,3.15,75.49,0.581
Grain14,6,4.06,5.39,6.75,3.3,53.04,4.05,53.10,0.581
Grain14,7,2.55,1.96,3.22,0.2,37.52,2.55,37.63,0.581
Grain14,8,0.79,0.98,1.26,53.87,51.26,0.47,68.30,0.581
Grain14,9,5.22,4.41,6.83,9.34,40.21,5.15,41.05,0.581
Grain14,10,2.59,0.98,2.77,10,20.71,2.55,22.95,0.581
Grain14,11,1.48,0.98,1.77,88.79,33.59,0.03,88.99,0.581
Grain14,12,3.24,2.94,4.38,41.05,42.19,2.44,56.09,0.581
Grain14,13,1.17,0.49,1.27,10.54,22.69,1.15,25.08,0.581
Grain14,14,0.22,0.49,0.54,20.18,66.01,0.21,67.52,0.581
Grain14,15,1.12,0.98,1.49,49.23,41.12,0.73,60.60,0.581
Grain14,16,0.37,1.96,2,73.19,79.27,0.11,86.93,0.581
Grain14,17,7.79,6.37,10.06,85.92,39.3,0.55,86.84,0.581
Grain14,18,6.06,3.43,6.96,26.79,29.52,5.41,38.99,0.581
Grain14,19,3.46,1.47,3.76,22.78,23.04,3.19,31.96,0.581
Grain14,20,4.85,1.47,5.07,11.58,16.87,4.75,20.42,0.581
Grain14,21,5.45,1.47,5.64,39.34,15.1,4.22,41.64,0.581
Grain14,22,0.83,0.49,0.97,14.17,30.46,0.80,33.94,0.581
Grain14,23,2.11,3.43,4.03,62.7,58.41,0.97,76.11,0.581
Grain14,24,2.3,7.35,7.7,71.35,72.66,0.74,84.52,0.581
Grain14,25,2.9,1.96,3.5,39,34.11,2.25,49.92,0.581
Grain14,26,8.85,6.37,10.9,30.55,35.76,7.62,45.64,0.581
Grain14,27,1.55,0.98,1.83,59.47,32.31,0.79,64.52,0.581
Grain14,28,3.67,1.47,3.95,22.22,21.85,3.40,30.67,0.581
Grain14,29,1.56,4.41,4.68,6.39,70.52,1.55,70.65,0.581
Grain14,30,6.97,3.92,8,36.91,29.36,5.57,45.84,0.581
Grain15,1,3.06,1.47,3.4,41.41,25.66,2.29,47.55,0.572
Grain15,2,0.81,0.49,0.94,51.12,31.26,0.51,57.26,0.572
Grain15,3,1.88,1.96,2.72,85.14,46.14,0.16,86.64,0.572
Grain15,4,6.05,2.45,6.53,62.05,22.05,2.84,64.26,0.572
Grain15,5,2.5,2.45,3.5,12.55,44.45,2.44,45.80,0.572
Grain15,6,0.2,1.47,1.48,63.89,82.44,0.09,86.59,0.572
Grain15,7,4.93,3.43,6,25.54,34.86,4.45,42.15,0.572
Grain15,8,6.93,4.41,8.21,57.02,32.49,3.77,62.65,0.572
Grain15,9,0.84,1.47,1.69,53.89,60.21,0.50,72.97,0.572
Grain15,10,5.49,10.29,11.67,51.59,61.92,3.41,73.01,0.572
Grain15,11,4.88,1.47,5.1,61.6,16.77,2.32,62.93,0.572
Grain15,12,0.5,0.98,1.1,87.05,62.88,0.03,88.66,0.572
Grain15,13,1.34,1.47,1.99,59.22,47.68,0.69,69.84,0.572
Grain15,14,3,1.96,3.58,85.87,33.19,0.22,86.54,0.572
Grain15,15,4.89,3.43,5.98,87.39,35.04,0.22,87.87,0.572
Grain15,16,1.64,0,1.64,4.27,0,1.64,4.27,0.572
Grain15,17,5.65,3.43,6.61,62.68,31.28,2.59,66.90,0.572
Grain15,18,7.53,5.39,9.26,10.47,35.6,7.40,36.90,0.572
Grain15,19,1.42,1.47,2.05,85.14,45.96,0.12,86.64,0.572
Grain15,20,0.21,0.98,1,18.89,78.08,0.20,78.54,0.572
Grain15,21,2.26,0.49,2.31,77.63,12.24,0.48,77.90,0.572
Grain15,22,5.19,1.96,5.55,54.7,20.7,3.00,57.29,0.572
Grain15,23,6.74,7.84,10.34,86,49.33,0.47,87.39,0.572
Grain15,24,2.79,1.47,3.16,14.01,27.77,2.71,31.06,0.572
Grain15,25,4.23,2.94,5.15,14.8,34.82,4.09,37.43,0.572
Grain15,26,2.15,1.96,2.91,76.63,42.39,0.50,80.16,0.572
Grain15,27,1.07,0.49,1.18,26.11,24.55,0.96,35.49,0.572
Grain15,28,9.9,5.88,11.52,26.39,30.71,8.87,39.66,0.572
Grain15,29,10.53,6.86,12.57,31.16,33.1,9.01,44.21,0.572
Grain15,30,6.12,6.86,9.2,3.63,48.26,6.11,48.40,0.572
Grain15,31,3.21,9.8,10.32,89.93,71.89,0.00,89.98,0.572
